GENE ID	LOCUS TAG	PRODUCT NAME	SCAFFOLD ID	GENE SEQ LENGTH	READS COUNT	COVERAGE	 MEDIAN	READS COUNT ANTISENSE	COVERAGE ANTISENSE	MEDIAN ANTISENSE
3300055431 assembled Ga0505481_16020_475_654	null	hypothetical protein	Ga0505481_16020	180	463	1.406936957671e-07	164.5	0	0	0
3300055431 assembled Ga0505481_08567_115_681	null	hypothetical protein	Ga0505481_08567	567	2657	2.56315368818393e-07	595	0	0	0
3300055431 assembled Ga0505481_00267_1618_1878	null	hypothetical protein	Ga0505481_00267	261	613	1.28465383935701e-07	270	0	0	0
3300055431 assembled Ga0505481_17384_110_625	null	predicted dehydrogenase	Ga0505481_17384	516	52	5.51213434619209e-09	12	0	0	0
3300055431 assembled Ga0505481_23097_2_514	null	hypothetical protein	Ga0505481_23097	513	56	5.97085897689184e-09	14	0	0	0
3300055431 assembled Ga0505481_21182_66_314	null	hypothetical protein	Ga0505481_21182	249	75	1.64751003396381e-08	15	0	0	0
3300055431 assembled Ga0505481_25635_1_504	null	molecular chaperone HtpG	Ga0505481_25635	504	99	1.07441190072068e-08	24	0	0	0
3300055431 assembled Ga0505481_17020_29_562	null	hypothetical protein	Ga0505481_17020	534	76	7.78463917171813e-09	19	0	0	0
3300055431 assembled Ga0505481_25935_3_377	null	two-component system OmpR family response regulator	Ga0505481_25935	375	146	2.12954950310117e-08	38	0	0	0
3300055431 assembled Ga0505481_20372_93_545	null	plastocyanin	Ga0505481_20372	453	109	1.31611684567511e-08	27	0	0	0
3300055431 assembled Ga0505481_23124_49_534	null	phosphoglycerate kinase	Ga0505481_23124	486	56	6.30257336449694e-09	17	0	0	0
3300055431 assembled Ga0505481_18373_204_428	null	hypothetical protein	Ga0505481_18373	225	48	1.16687644005543e-08	21	0	0	0
3300055431 assembled Ga0505481_15158_37_675	null	hypothetical protein	Ga0505481_15158	639	264	2.25979592264256e-08	64	20	1.71196660806255e-09	0
3300055431 assembled Ga0505481_11501_3_785	null	zeaxanthin epoxidase	Ga0505481_11501	783	166	1.15961140474857e-08	22	0	0	0
3300055431 assembled Ga0505481_18858_63_596	null	hypothetical protein	Ga0505481_18858	534	54	5.5311909904313e-09	14	0	0	0
3300055431 assembled Ga0505481_14630_3_446	null	hypothetical protein	Ga0505481_14630	444	37	4.55811109396654e-09	9	0	0	0
3300055431 assembled Ga0505481_04023_131_1225	null	hypothetical protein	Ga0505481_04023	1095	1224	6.11411285371511e-08	66	0	0	0
3300055431 assembled Ga0505481_23321_147_428	null	large subunit ribosomal protein L34e	Ga0505481_23321	282	396	7.68090209876914e-08	71	0	0	0
3300055431 assembled Ga0505481_08063_1_897	null	protein phosphatase 1L	Ga0505481_08063	897	91	5.54900481004622e-09	14	0	0	0
3300055431 assembled Ga0505481_14811_181_615	null	hypothetical protein	Ga0505481_14811	435	95	1.19453945910847e-08	28	0	0	0
3300055431 assembled Ga0505481_13249_22_519	null	photosystem II PsbU protein	Ga0505481_13249	498	617	6.77675793970447e-08	111	0	0	0
3300055431 assembled Ga0505481_02156_928_1329	null	hypothetical protein	Ga0505481_02156	402	219	2.97978008829454e-08	79	0	0	0
3300055431 assembled Ga0505481_07549_849_986	null	hypothetical protein	Ga0505481_07549	138	19	7.53079224220558e-09	3	0	0	0
3300055431 assembled Ga0505481_02599_1344_1571	null	hypothetical protein	Ga0505481_02599	228	7761	1.86186843159338e-06	4621	0	0	0
3300055431 assembled Ga0505481_04183_105_1076	null	hypothetical protein	Ga0505481_04183	972	768	4.3217645927979e-08	109	0	0	0
3300055431 assembled Ga0505481_19785_1_366	null	hypothetical protein	Ga0505481_19785	366	60	8.96677592255712e-09	17	0	0	0
3300055431 assembled Ga0505481_23413_28_531	null	hypothetical protein	Ga0505481_23413	504	30	3.25579363854753e-09	5	62	6.72864018633155e-09	20
3300055431 assembled Ga0505481_25986_1_381	null	hypothetical protein	Ga0505481_25986	381	34	4.88112684078306e-09	9	0	0	0
3300055431 assembled Ga0505481_24244_89_460	null	large subunit ribosomal protein L35e	Ga0505481_24244	372	85	1.24980465479728e-08	29	0	0	0
3300055431 assembled Ga0505481_12545_43_750	null	hypothetical protein	Ga0505481_12545	708	390	3.01298868923212e-08	48	0	0	0
3300055431 assembled Ga0505481_03663_162_1346	null	cysteine-rich repeat protein	Ga0505481_03663	1185	214	9.87783062388697e-09	20	0	0	0
3300055431 assembled Ga0505481_09234_78_878	null	actin-related protein	Ga0505481_09234	801	217	1.4818128949674e-08	36	0	0	0
3300055431 assembled Ga0505481_19585_32_433	null	large subunit ribosomal protein L35Ae	Ga0505481_19585	402	68	9.25228520566342e-09	20	0	0	0
3300055431 assembled Ga0505481_19553_112_573	null	putative photosynthetic complex assembly protein	Ga0505481_19553	462	26	3.07820489462675e-09	8	0	0	0
3300055431 assembled Ga0505481_22684_85_321	null	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 4	Ga0505481_22684	237	162	3.73880504922825e-08	81	0	0	0
3300055431 assembled Ga0505481_02947_70_1269	null	calreticulin	Ga0505481_02947	1200	428	1.95087154821768e-08	48.5	0	0	0
3300055431 assembled Ga0505481_11202_3_191	null	HSP20 family molecular chaperone IbpA	Ga0505481_11202	189	35	1.01291357643701e-08	2	0	0	0
3300055431 assembled Ga0505481_01020_2078_2209	null	hypothetical protein	Ga0505481_01020	132	21	8.70184845211793e-09	12	0	0	0
3300055431 assembled Ga0505481_06428_66_746	null	predicted RNA-binding protein with PUA-like domain	Ga0505481_06428	681	702	5.63840350302116e-08	115	0	0	0
3300055431 assembled Ga0505481_24506_104_412	null	ATP/ADP translocase	Ga0505481_24506	309	61	1.07978554070664e-08	21	0	0	0
3300055431 assembled Ga0505481_00248_72_2990	null	di/tricarboxylate transporter	Ga0505481_00248	2919	1260	2.36103596234238e-08	39	34	6.37104942219372e-10	0
3300055431 assembled Ga0505481_20212_3_560	null	chromosome segregation ATPase	Ga0505481_20212	558	122	1.19589151282563e-08	36	0	0	0
3300055431 assembled Ga0505481_09166_38_583	null	tubulin beta	Ga0505481_09166	546	221	2.21393967421232e-08	62	0	0	0
3300055431 assembled Ga0505481_13085_3_722	null	hypothetical protein	Ga0505481_13085	720	89	6.76119812271703e-09	14	0	0	0
3300055431 assembled Ga0505481_08625_80_901	null	hypothetical protein	Ga0505481_08625	822	444	2.95445449010386e-08	41	0	0	0
3300055431 assembled Ga0505481_08383_2_139	null	hypothetical protein	Ga0505481_08383	138	1458	5.7788921521767e-07	625	0	0	0
3300055431 assembled Ga0505481_05567_189_569	null	Zn-dependent protease	Ga0505481_05567	381	123	1.76581941593034e-08	41	0	0	0
3300055431 assembled Ga0505481_05973_981_1103	null	hypothetical protein	Ga0505481_05973	123	12	5.33632518318034e-09	6	0	0	0
3300055431 assembled Ga0505481_24475_2_517	null	hypothetical protein	Ga0505481_24475	516	72	7.63218601780443e-09	20	0	0	0
3300055431 assembled Ga0505481_16727_2_610	null	actin beta/gamma 1	Ga0505481_16727	609	327	2.93695039946218e-08	83	0	0	0
3300055431 assembled Ga0505481_14826_3_683	null	hypothetical protein	Ga0505481_14826	681	40	3.21276552878699e-09	10	0	0	0
3300055431 assembled Ga0505481_00168_1220_1321	null	hypothetical protein	Ga0505481_00168	102	47	2.5203673107815e-08	28	358	1.91976914310591e-07	221
3300055431 assembled Ga0505481_02888_75_1511	null	tubulin alpha	Ga0505481_02888	1437	547	2.08207663331916e-08	49	0	0	0
3300055431 assembled Ga0505481_01222_12_1946	null	Na+/proline symporter	Ga0505481_01222	1935	1037	2.93132477794933e-08	44	0	0	0
3300055431 assembled Ga0505481_14422_92_496	null	thioredoxin 1	Ga0505481_14422	405	85	1.14796871996194e-08	21	0	0	0
3300055431 assembled Ga0505481_03011_287_1423	null	hypothetical protein	Ga0505481_03011	1137	691	3.32417389544156e-08	64	0	0	0
3300055431 assembled Ga0505481_12235_46_759	null	hypothetical protein	Ga0505481_12235	714	124	9.49925673364454e-09	26	0	0	0
3300055431 assembled Ga0505481_25958_1_492	null	hypothetical protein	Ga0505481_25958	492	85	9.44974251188184e-09	29	0	0	0
3300055431 assembled Ga0505481_13317_1_102	null	hypothetical protein	Ga0505481_13317	102	289	1.54975777194862e-07	93	0	0	0
3300055431 assembled Ga0505481_14041_3_704	null	cullin 1	Ga0505481_14041	702	230	1.79207786600394e-08	46	0	0	0
3300055431 assembled Ga0505481_23724_47_481	null	large subunit ribosomal protein L14e	Ga0505481_23724	435	130	1.63463294404317e-08	40	0	0	0
3300055431 assembled Ga0505481_25155_187_510	null	RNA recognition motif-containing protein	Ga0505481_25155	324	29	4.89574895277887e-09	14	0	0	0
3300055431 assembled Ga0505481_05061_81_1124	null	WD repeat-containing protein 68	Ga0505481_05061	1044	285	1.49317432388559e-08	32	0	0	0
3300055431 assembled Ga0505481_13012_56_610	null	hypothetical protein	Ga0505481_13012	555	92	9.06694531124154e-09	21	0	0	0
3300055431 assembled Ga0505481_21114_23_331	null	large subunit ribosomal protein L44e	Ga0505481_21114	309	968	1.71349574328528e-07	393	0	0	0
3300055431 assembled Ga0505481_07211_118_645	null	hypothetical protein	Ga0505481_07211	528	1412	1.46273928742744e-07	317	0	0	0
3300055431 assembled Ga0505481_01564_180_1622	null	hypothetical protein	Ga0505481_01564	1443	492	1.8649402563256e-08	44	0	0	0
3300055431 assembled Ga0505481_12243_129_359	null	hypothetical protein	Ga0505481_12243	231	512	1.21233915849915e-07	275	0	0	0
3300055431 assembled Ga0505481_19724_3_329	null	hypothetical protein	Ga0505481_19724	327	368	6.15554085350343e-08	147	0	0	0
3300055431 assembled Ga0505481_12580_362_685	null	ribosomal protein L12E/L44/L45/RPP1/RPP2	Ga0505481_12580	324	677	1.14290415207976e-07	240	0	0	0
3300055431 assembled Ga0505481_20667_1_309	null	surfeit locus 1 family protein	Ga0505481_20667	309	46	8.14264506106643e-09	22	0	0	0
3300055431 assembled Ga0505481_17593_18_620	null	tubulin beta	Ga0505481_17593	603	268	2.43099258344882e-08	69	0	0	0
3300055431 assembled Ga0505481_24086_1_516	null	sulfite reductase (ferredoxin)	Ga0505481_24086	516	47	4.982121428289e-09	15	0	0	0
3300055431 assembled Ga0505481_25917_2_175	null	hypothetical protein	Ga0505481_25917	174	30	9.43057467717214e-09	15	0	0	0
3300055431 assembled Ga0505481_16798_4_591	null	hypothetical protein	Ga0505481_16798	588	88	8.18599543406235e-09	19	0	0	0
3300055431 assembled Ga0505481_17568_2_499	null	hypothetical protein	Ga0505481_17568	498	208	2.28454724709648e-08	46	0	0	0
3300055431 assembled Ga0505481_00892_1_2229	null	phospholipase D1/2	Ga0505481_00892	2229	1166	2.86124228025033e-08	67	0	0	0
3300055431 assembled Ga0505481_22514_36_473	null	biopolymer transport protein ExbD	Ga0505481_22514	438	8	9.99038047992665e-10	2	8	9.99038047992665e-10	4
3300055431 assembled Ga0505481_12706_392_598	null	AP-1 complex subunit mu	Ga0505481_12706	207	48	1.26834395658199e-08	23	0	0	0
3300055431 assembled Ga0505481_16410_480_644	null	hypothetical protein	Ga0505481_16410	165	37	1.22654625801281e-08	18	0	0	0
3300055431 assembled Ga0505481_18689_110_502	null	hypothetical protein	Ga0505481_18689	393	159	2.21294553875017e-08	40	0	0	0
3300055431 assembled Ga0505481_01521_75_863	null	light-harvesting complex I chlorophyll a/b binding protein 1	Ga0505481_01521	789	326	2.2599912040047e-08	45	0	0	0
3300055431 assembled Ga0505481_11696_9_779	null	hypothetical protein	Ga0505481_11696	771	73	5.17886552310595e-09	12	0	0	0
3300055431 assembled Ga0505481_13950_22_678	null	hypothetical protein	Ga0505481_13950	657	42	3.49663316797433e-09	9	0	0	0
3300055431 assembled Ga0505481_08571_53_682	null	hypothetical protein	Ga0505481_08571	630	9535	8.27839795828017e-07	1169	0	0	0
3300055431 assembled Ga0505481_09519_1_792	null	hypothetical protein	Ga0505481_09519	792	199	1.37433955712021e-08	27	0	0	0
3300055431 assembled Ga0505481_00028_4682_5347	null	hypothetical protein	Ga0505481_00028	666	513	4.21317295712582e-08	112	0	0	0
3300055431 assembled Ga0505481_20830_7_546	null	large subunit ribosomal protein L18e	Ga0505481_20830	540	96	9.72397033379528e-09	22	0	0	0
3300055431 assembled Ga0505481_05242_58_786	null	hypothetical protein	Ga0505481_05242	729	96	7.2029409879965e-09	15	0	0	0
3300055431 assembled Ga0505481_02155_3_524	null	hypothetical protein	Ga0505481_02155	522	10	1.0478416307969e-09	0	99	1.03736321448894e-08	25.5
3300055431 assembled Ga0505481_11265_2_796	null	serine/threonine protein kinase	Ga0505481_11265	795	143	9.83863979527871e-09	25	0	0	0
3300055431 assembled Ga0505481_25892_396_503	null	hypothetical protein	Ga0505481_25892	108	20	1.01291357643701e-08	4	0	0	0
3300055431 assembled Ga0505481_09421_3_782	null	TolA-binding protein	Ga0505481_09421	780	168	1.1780964058252e-08	29	0	0	0
3300055431 assembled Ga0505481_09997_3_848	null	hypothetical protein	Ga0505481_09997	846	73	4.71974623914265e-09	13	0	0	0
3300055431 assembled Ga0505481_03838_319_1155	null	hypothetical protein	Ga0505481_03838	837	86	5.6200366176505e-09	2	118	7.71121303352045e-09	12
3300055431 assembled Ga0505481_17895_1_363	null	predicted Zn-dependent peptidase	Ga0505481_17895	363	40	6.0272543391293e-09	14	0	0	0
3300055431 assembled Ga0505481_21212_2_109	null	hypothetical protein	Ga0505481_21212	108	42	2.12711851051772e-08	21	0	0	0
3300055431 assembled Ga0505481_02221_123_1445	null	hypothetical protein	Ga0505481_02221	1323	772	3.19171135105865e-08	67	0	0	0
3300055431 assembled Ga0505481_20816_5_565	null	glycerol-3-phosphate dehydrogenase (NAD+)	Ga0505481_20816	561	202	1.96949399140372e-08	38	16	1.55999524071582e-09	0
3300055431 assembled Ga0505481_00666_2398_2535	null	hypothetical protein	Ga0505481_00666	138	302	1.19699960902426e-07	103	0	0	0
3300055431 assembled Ga0505481_16779_53_637	null	ElaB/YqjD/DUF883 family membrane-anchored ribosome-binding protein	Ga0505481_16779	585	83	7.76047632408662e-09	19	0	0	0
3300055431 assembled Ga0505481_21941_115_510	null	hypothetical protein	Ga0505481_21941	396	120	1.65749494326056e-08	39	0	0	0
3300055431 assembled Ga0505481_00774_575_1363	null	hypothetical protein	Ga0505481_00774	789	1070	7.41776254075162e-08	143	0	0	0
3300055431 assembled Ga0505481_10716_608_715	null	hypothetical protein	Ga0505481_10716	108	47	2.38034690462697e-08	20	0	0	0
3300055431 assembled Ga0505481_00026_11_3343	null	hypothetical protein	Ga0505481_00026	3333	1572	2.57978420871841e-08	62	0	0	0
3300055431 assembled Ga0505481_10583_1_822	null	cathepsin B	Ga0505481_10583	822	415	2.76148336349797e-08	76.5	0	0	0
3300055431 assembled Ga0505481_19924_246_578	null	exodeoxyribonuclease V alpha subunit	Ga0505481_19924	333	4	6.57025022553735e-10	0	26	4.27066264659928e-09	12
3300055431 assembled Ga0505481_02774_172_1257	null	uncharacterized coiled-coil protein SlyX	Ga0505481_02774	1086	833	4.19547684118688e-08	100	0	0	0
3300055431 assembled Ga0505481_06868_143_895	null	hypothetical protein	Ga0505481_06868	753	2137	1.55230014467036e-07	365	0	0	0
3300055431 assembled Ga0505481_12556_292_747	null	hypothetical protein	Ga0505481_12556	456	120	1.43940350335785e-08	24	4	4.79801167785951e-10	0
3300055431 assembled Ga0505481_23335_2_532	null	hypothetical protein	Ga0505481_23335	531	98	1.00947997109315e-08	31	0	0	0
3300055431 assembled Ga0505481_11827_2_379	null	regulator of protease activity HflC (stomatin/prohibitin superfamily)	Ga0505481_11827	378	121	1.75089346784111e-08	40	0	0	0
3300055431 assembled Ga0505481_07692_109_978	null	signal peptidase I	Ga0505481_07692	870	86	5.40686281491203e-09	12	0	0	0
3300055431 assembled Ga0505481_00872_1707_1952	null	hypothetical protein	Ga0505481_00872	246	132	2.93497885074918e-08	48	0	0	0
3300055431 assembled Ga0505481_07651_93_866	null	hypothetical protein	Ga0505481_07651	774	280	1.97871489350485e-08	33	0	0	0
3300055431 assembled Ga0505481_17442_2_265	null	hypothetical protein	Ga0505481_17442	264	40	8.28747471630279e-09	18	0	0	0
3300055431 assembled Ga0505481_14496_3_653	null	hypothetical protein	Ga0505481_14496	651	111	9.32627339042001e-09	19	0	0	0
3300055431 assembled Ga0505481_13352_219_656	null	proteasome maturation protein	Ga0505481_13352	438	96	1.1988456575912e-08	20	0	0	0
3300055431 assembled Ga0505481_01405_746_1756	null	hypothetical protein	Ga0505481_01405	1011	333	1.80160355405443e-08	33	0	0	0
3300055431 assembled Ga0505481_08507_218_910	null	phenylalanyl-tRNA synthetase alpha chain	Ga0505481_08507	693	225	1.77588743920774e-08	42	0	0	0
3300055431 assembled Ga0505481_21509_47_556	null	predicted MFS family arabinose efflux permease	Ga0505481_21509	510	45	4.82623527596457e-09	12	0	0	0
3300055431 assembled Ga0505481_15249_24_671	null	uncharacterized protein YjbI with pentapeptide repeats	Ga0505481_15249	648	112	9.45386004674541e-09	26	0	0	0
3300055431 assembled Ga0505481_21843_333_551	null	hypothetical protein	Ga0505481_21843	219	18	4.49567121596699e-09	7	0	0	0
3300055431 assembled Ga0505481_12081_409_738	null	hypothetical protein	Ga0505481_12081	330	88	1.45859555006929e-08	23	0	0	0
3300055431 assembled Ga0505481_24950_171_509	null	elongation factor 1-alpha	Ga0505481_24950	339	22	3.54967943600934e-09	8	0	0	0
3300055431 assembled Ga0505481_01093_206_379	null	hypothetical protein	Ga0505481_01093	174	916	2.87946880142989e-07	404	0	0	0
3300055431 assembled Ga0505481_02548_726_1106	null	hypothetical protein	Ga0505481_02548	381	57	8.18306558601866e-09	22	0	0	0
3300055431 assembled Ga0505481_17819_245_616	null	large subunit ribosomal protein L18Ae	Ga0505481_17819	372	385	5.66087990702296e-08	149.5	0	0	0
3300055431 assembled Ga0505481_03242_185_1399	null	histone deacetylase 1/2	Ga0505481_03242	1215	1297	5.83888403839466e-08	129	0	0	0
3300055431 assembled Ga0505481_21243_131_559	null	sulfate adenylyltransferase	Ga0505481_21243	429	68	8.66997354936292e-09	20	4	5.09998444080172e-10	0
3300055431 assembled Ga0505481_16737_3_605	null	exonuclease III	Ga0505481_16737	603	72	6.53102485105653e-09	15	0	0	0
3300055431 assembled Ga0505481_10337_2_307	null	hypothetical protein	Ga0505481_10337	306	14	2.50249236531496e-09	7	31	5.54123309462599e-09	11
3300055431 assembled Ga0505481_06170_1_129	null	hypothetical protein	Ga0505481_06170	129	3	1.27203100296741e-09	3	0	0	0
3300055431 assembled Ga0505481_01909_3_1766	null	4-hydroxyphenylpyruvate dioxygenase-like putative hemolysin	Ga0505481_01909	1764	7420	2.30076083790692e-07	392	4	1.2403023384943e-10	0
3300055431 assembled Ga0505481_03690_3_1367	null	glutamate dehydrogenase	Ga0505481_03690	1365	213	8.53518824628459e-09	24	0	0	0
3300055431 assembled Ga0505481_23210_448_531	null	hypothetical protein	Ga0505481_23210	84	15	9.76738091564258e-09	15	0	0	0
3300055431 assembled Ga0505481_16376_1_645	null	hypothetical protein	Ga0505481_16376	645	83	7.03857154975298e-09	15	0	0	0
3300055431 assembled Ga0505481_01622_3_1871	null	(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase	Ga0505481_01622	1869	513	1.50132326883135e-08	35	0	0	0
3300055431 assembled Ga0505481_21672_2_103	null	hypothetical protein	Ga0505481_21672	102	13	6.97122873194882e-09	0	10	5.36248363996063e-09	5
3300055431 assembled Ga0505481_25266_2_508	null	hypothetical protein	Ga0505481_25266	507	199	2.1468972963298e-08	57	0	0	0
3300055431 assembled Ga0505481_05691_30_1055	null	hypothetical protein	Ga0505481_05691	1026	212	1.13019830634024e-08	18	0	0	0
3300055431 assembled Ga0505481_05418_7_522	null	hypothetical protein	Ga0505481_05418	516	130	1.37803358654802e-08	27	0	0	0
3300055431 assembled Ga0505481_05494_3_341	null	elongation factor 1-alpha	Ga0505481_05494	339	65	1.04876892427549e-08	29	0	0	0
3300055431 assembled Ga0505481_01619_1360_1596	null	hypothetical protein	Ga0505481_01619	237	259	5.97747227006244e-08	79	0	0	0
3300055431 assembled Ga0505481_04586_188_772	null	thioredoxin 1	Ga0505481_04586	585	128	1.1967963487748e-08	27	0	0	0
3300055431 assembled Ga0505481_14399_1_237	null	hypothetical protein	Ga0505481_14399	237	36	8.30845566495166e-09	28	0	0	0
3300055431 assembled Ga0505481_13315_186_704	null	Ca2+-binding EF-hand superfamily protein	Ga0505481_13315	519	150	1.58084777825429e-08	33	0	0	0
3300055431 assembled Ga0505481_06719_980_1046	null	hypothetical protein	Ga0505481_06719	67	6	4.8982686382924e-09	6	0	0	0
3300055431 assembled Ga0505481_19121_2_592	null	aldehyde dehydrogenase (NAD+)	Ga0505481_19121	591	88	8.14444215774731e-09	22	0	0	0
3300055431 assembled Ga0505481_23961_35_430	null	hypothetical protein	Ga0505481_23961	396	140	1.93374410047065e-08	45.5	0	0	0
3300055431 assembled Ga0505481_14229_2_682	null	hypothetical protein	Ga0505481_14229	681	111	8.91542434238388e-09	19	0	0	0
3300055431 assembled Ga0505481_16180_257_622	null	hypothetical protein	Ga0505481_16180	366	62	9.26566845330902e-09	21	0	0	0
3300055431 assembled Ga0505481_13896_248_640	null	ribosomal protein L29	Ga0505481_13896	393	25	3.47947411753171e-09	7	0	0	0
3300055431 assembled Ga0505481_15333_33_635	null	large subunit ribosomal protein L19e	Ga0505481_15333	603	950	8.61732445625514e-08	233	0	0	0
3300055431 assembled Ga0505481_08471_71_910	null	7-alpha-hydroxysteroid dehydrogenase	Ga0505481_08471	840	5897	3.83988301730295e-07	894	14	9.11622218793307e-10	0
3300055431 assembled Ga0505481_02049_3_1655	null	hypothetical protein	Ga0505481_02049	1653	990	3.27588383522822e-08	89	0	0	0
3300055431 assembled Ga0505481_19894_3_575	null	hypothetical protein	Ga0505481_19894	573	61	5.82292726140228e-09	13	0	0	0
3300055431 assembled Ga0505481_02051_9_1679	null	L1 cell adhesion molecule like protein	Ga0505481_02051	1671	425	1.39116496584257e-08	35	0	0	0
3300055431 assembled Ga0505481_16683_1_603	null	tripeptidyl-peptidase-1	Ga0505481_16683	603	32	2.90267771158068e-09	6	0	0	0
3300055431 assembled Ga0505481_05085_3_323	null	hypothetical protein	Ga0505481_05085	321	105	1.78916510230462e-08	10	0	0	0
3300055431 assembled Ga0505481_03327_612_1013	null	hypothetical protein	Ga0505481_03327	402	51	6.93921390424756e-09	15	16	2.17700828368551e-09	1
3300055431 assembled Ga0505481_21842_2_547	null	hypothetical protein	Ga0505481_21842	546	32	3.20570450564679e-09	10	6	6.01069594808774e-10	0
3300055431 assembled Ga0505481_14158_165_602	null	hypothetical protein	Ga0505481_14158	438	65	8.11718413994041e-09	21	0	0	0
3300055431 assembled Ga0505481_20929_55_564	null	hypothetical protein	Ga0505481_20929	510	28	3.00299083837795e-09	9	0	0	0
3300055431 assembled Ga0505481_15057_3_254	null	hypothetical protein	Ga0505481_15057	252	21	4.55811109396654e-09	11	2	4.34105818473003e-10	2
3300055431 assembled Ga0505481_10232_2_619	null	hypothetical protein	Ga0505481_10232	618	160	1.41611218453329e-08	37	0	0	0
3300055431 assembled Ga0505481_19719_3_551	null	hypothetical protein	Ga0505481_19719	549	55	5.47969639711824e-09	13	0	0	0
3300055431 assembled Ga0505481_22583_1_540	null	hypothetical protein	Ga0505481_22583	540	2717	2.75208618717935e-07	682	0	0	0
3300055431 assembled Ga0505481_02529_873_1550	null	hypothetical protein	Ga0505481_02529	678	316	2.5493152313158e-08	57	0	0	0
3300055431 assembled Ga0505481_04367_102_1208	null	5-formyltetrahydrofolate cyclo-ligase	Ga0505481_04367	1107	646	3.19191302623564e-08	75	0	0	0
3300055431 assembled Ga0505481_03705_930_1298	null	histone H2B	Ga0505481_03705	369	171	2.53475446201066e-08	62	0	0	0
3300055431 assembled Ga0505481_09857_472_831	null	hypothetical protein	Ga0505481_09857	360	1	1.51937036465551e-10	0	32	4.86198516689764e-09	10
3300055431 assembled Ga0505481_04944_1_591	null	chaperonin GroEL	Ga0505481_04944	591	83	7.68168976242076e-09	19	0	0	0
3300055431 assembled Ga0505481_08514_524_709	null	hypothetical protein	Ga0505481_08514	186	256	7.52823509713183e-08	105	0	0	0
3300055431 assembled Ga0505481_18175_1_609	null	protein transport protein SEC24	Ga0505481_18175	609	68	6.10741979093053e-09	13	0	0	0
3300055431 assembled Ga0505481_14092_3_479	null	hypothetical protein	Ga0505481_14092	477	73	8.37087068829075e-09	11	0	0	0
3300055431 assembled Ga0505481_05882_45_1043	null	Leucine-rich repeat (LRR) protein	Ga0505481_05882	999	138	7.55578775936795e-09	18	0	0	0
3300055431 assembled Ga0505481_23041_64_438	null	RING-box protein 1	Ga0505481_23041	375	340	4.95922487023559e-08	123	0	0	0
3300055431 assembled Ga0505481_04148_220_738	null	hypothetical protein	Ga0505481_04148	519	408	4.29990595685167e-08	86	0	0	0
3300055431 assembled Ga0505481_01270_3_1964	null	hypothetical protein	Ga0505481_01270	1962	1216	3.39000800627725e-08	44	22	6.13323816925161e-10	0
3300055431 assembled Ga0505481_09759_749_859	null	hypothetical protein	Ga0505481_09759	111	23	1.13336816390519e-08	23	0	0	0
3300055431 assembled Ga0505481_19311_1_588	null	serine/threonine protein kinase	Ga0505481_19311	588	30	2.79068026161216e-09	8	0	0	0
3300055431 assembled Ga0505481_20730_7_555	null	elongation factor 1-alpha	Ga0505481_20730	549	114	1.13579161685724e-08	32	0	0	0
3300055431 assembled Ga0505481_23835_3_245	null	hypothetical protein	Ga0505481_23835	243	23	5.17711383512249e-09	5	0	0	0
